Country,Title,Variety,City,Lat,Lng,PriceAverage,PointsAverage,Price Average,Points Average
Italy,Canicattì 2009 Aynat Nero d'Avola (Sicilia),Nero d'Avola,naro,37.36,13.78,35.0,87,35.0,87
US,Castello di Amorosa 2011 King Ridge Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,santa rosa,38.56,-122.54,69.0,87,69.0,87
US,Clarksburg Wine Company 2010 Chenin Blanc (Clarksburg),Chenin Blanc,florin,38.42,-121.53,16.0,86,16.0,86
US,Envolve 2010 Puma Springs Vineyard Red (Dry Creek Valley),Red Blend,sonoma,38.29,-122.46,50.0,86,50.0,86
US,Erath 2010 Hyland Pinot Noir (McMinnville),Pinot Noir,newberg,45.28,-123.06,50.0,86,50.0,86
Chile,Estampa 2011 Estate Viognier-Chardonnay (Colchagua Valley),Viognier-Chardonnay,santa cruz,-34.58,-71.38,15.0,86,15.0,86
Italy,Feudi del Pisciotto 2010 Missoni Cabernet Sauvignon (Sicilia),Cabernet Sauvignon,niscemi,37.12,14.41,21.0,86,21.0,86
Italy,Feudi di San Marzano 2011 I Tratturi Primitivo (Puglia),Primitivo,sava,40.46,17.5,11.0,86,11.0,86
Italy,Feudo di Santa Tresa 2011 Purato Made With Organic Grapes Nero d'Avola (Sicilia),Nero d'Avola,vittoria,37.01,14.52,12.0,86,12.0,86
Italy,Feudo Montoni 2011 Catarratto (Sicilia),Catarratto,mussomeli,37.67,13.73,17.0,86,17.0,86
US,Hawkins Cellars 2009 Pinot Noir (Willamette Valley),Pinot Noir,newberg,45.28,-123.01,22.0,86,22.0,86
France,Henry Fessy 2012 Nouveau  (Beaujolais),Gamay,villefranche-sur-saone,46.12,4.7,9.0,86,9.0,86
US,Robert Hall 2011 Sauvignon Blanc (Paso Robles),Sauvignon Blanc,atascadero,35.64,-120.63,14.0,86,14.0,86
US,Tarara 2010 #SocialSecret Red (Virginia),Red Blend,leesburg,39.23,-77.48,40.0,86,40.0,86
Italy,Tasca d'Almerita 2011 Sallier de la Tour Inzolia (Sicilia),Inzolia,mussomeli,37.72,13.83,13.0,86,13.0,86
US,Trump 2011 Sauvignon Blanc (Monticello),Sauvignon Blanc,charlottesville,37.94,-78.5,16.0,86,16.0,86
France,Vignerons de Bel Air 2011 Eté Indien  (Brouilly),Gamay,villefranche-sur-saone,46.12,4.71,14.0,86,14.0,86
Chile,Casa Silva 2008 Gran Reserva Petit Verdot (Colchagua Valley),Petit Verdot,san vicente,-34.54,-70.97,22.0,85,22.0,85
Italy,Cantine di Dolianova 2010 Dolia  (Monica di Sardegna),Monica,sinnai,39.36,9.16,14.0,85,14.0,85
France,Château de Sours 2011 La Fleur d'Amélie  (Bordeaux Blanc),Bordeaux-style White Blend,libourne,44.82,-0.27,15.0,85,15.0,85
US,RustRidge 2010 Estate Bottled Chardonnay (Napa Valley),Chardonnay,napa,38.53,-122.32,30.0,85,30.0,85
US,Mellisoni 2014 Malbec (Columbia Valley (WA)),Malbec,east wenatchee bench,47.84,-120.07,55.0,86,55.0,86
Italy,Podere dal Nespoli 2015 Prugneto Sangiovese (Romagna),Sangiovese,bertinoro,44.04,11.99,17.0,86,17.0,86
US,Ram 2014 Alder Ridge Vineyard Cabernet Franc (Columbia Valley (WA)),Cabernet Franc,sonoma,38.17,-122.45,25.0,86,25.0,86
France,Roland Champion NV Brut Rosé  (Champagne),Champagne Blend,epernay,49.03,4.01,58.0,86,58.0,86
US,Sevtap 2015 Golden Horn Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,lompoc,34.6,-120.14,26.0,86,26.0,86
France,Simonnet-Febvre 2015  Chablis,Chardonnay,auxerre,47.76,3.69,24.0,86,24.0,86
France,Vignerons des Terres Secrètes 2015  Mâcon-Milly Lamartine,Chardonnay,macon,46.32,4.75,15.0,86,15.0,86
US,Basel Cellars 2013 Inspired Red (Columbia Valley (WA)),Bordeaux-style Red Blend,college place,46.02,-118.4,46.0,86,46.0,86
France,Collet NV Brut Rosé  (Champagne),Champagne Blend,nice,43.72,7.21,55.0,86,55.0,86
US,Drumheller 2014 Chardonnay (Columbia Valley (WA)),Chardonnay,drumheller,51.43,-112.65,12.0,86,12.0,86
US,Eco Terreno 2013 Old Vine Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,sonoma,38.28,-122.46,40.0,86,40.0,86
Italy,Grifalco 2013 Daginestra  (Aglianico del Vulture),Aglianico,venosa,40.97,15.85,32.0,86,32.0,86
US,Hindsight 2013 Bella Vetta Vineyard Cabernet Sauvignon (Howell Mountain),Cabernet Sauvignon,santa rosa,38.6,-122.58,75.0,86,75.0,86
Germany,Schmitt Söhne 2015 Riesling (Rheinhessen),Riesling,trier,49.81,6.77,9.0,86,9.0,86
Australia,Yalumba 2016 Made With Organic Grapes Chardonnay (South Australia),Chardonnay,gawler,-34.51,139.06,18.0,86,18.0,86
US,Z'IVO 2015 Rosé of Pinot Noir (Eola-Amity Hills),Pinot Noir,keizer,45.13,-123.12,25.0,86,25.0,86
Chile,Aresti 2014 Special Release Reserva Carmenère (Rapel Valley),Carmenère,molina,-35.15,-71.3,12.0,86,12.0,86
France,Lionel Osmin & Cie 2016 La Réserve Petit Manseng (Vin de France),Petit Manseng,pau,43.33,-0.31,11.0,86,11.0,86
Australia,Mitolo 2016 Jester Sangiovese Rosé (McLaren Vale),Rosé,adelaide,-35.23,138.57,20.0,86,20.0,86
US,Napa Cellars 2014 Classic Zinfandel (Napa Valley),Zinfandel,sonoma,38.42,-122.39,24.0,86,24.0,86
US,Palencia 2016 Albariño (Ancient Lakes),Albariño,walla walla,46.09,-118.26,20.0,86,20.0,86
US,Passaggio 2014 Blau Vineyards Merlot (Knights Valley),Merlot,sonoma,38.29,-122.46,55.0,86,55.0,86
Italy,Poggio Alloro 2014 Le Mandorle Riserva  (Vernaccia di San Gimignano),Vernaccia,certaldo,43.49,11.07,29.0,86,29.0,86
Italy,Fattoria Sardi 2015 Rosato (Toscana),Rosato,lucca,43.88,10.5,19.0,88,19.0,88
US,Ferrari-Carano 2014 Siena Red (Sonoma County),Red Blend,healdsburg,38.71,-122.98,23.0,88,23.0,88
US,Franciscan 2013 Magnificat Meritage (Napa Valley),Meritage,sonoma,38.47,-122.43,55.0,88,55.0,88
Austria,Fuchs 2015 Grüner Veltliner (Burgenland),Grüner Veltliner,ruse,46.66,15.52,12.0,88,12.0,88
US,Gård 2014 Grand Klasse Reserve Lawrence Vineyards Viognier (Columbia Valley (WA)),Viognier,woodinville,47.77,-122.15,22.0,88,22.0,88
US,Heron Hill 2015 Ingle Vineyard Riesling (Finger Lakes),Riesling,corning,42.45,-77.2,20.0,88,20.0,88
Italy,Serpaia di Endrizzi 2010 Dono Riserva  (Morellino di Scansano),Sangiovese,trento,46.2,11.14,30.0,88,30.0,88
US,Soquel Vineyards 2013 Intreccio Library Selection Red (Napa Valley),Bordeaux-style Red Blend,soquel,37.03,-121.93,75.0,88,75.0,88
US,Ventosa 2015 Pinot Gris (Finger Lakes),Pinot Gris,geneva,42.86,-76.94,18.0,88,18.0,88
US,Lamoreaux Landing 2014 Red Oak Vineyard Riesling (Finger Lakes),Riesling,geneva,42.58,-76.86,20.0,87,20.0,87
Chile,Leyda 2015 Single Vineyard Falaris Hill Chardonnay (Leyda Valley),Chardonnay,san antonio,-33.69,-71.48,18.0,87,18.0,87
Italy,Madonna Alta 2014 Nativo Red (Toscana),Red Blend,foligno,42.89,12.63,16.0,87,16.0,87
Italy,Marchesi Antinori 2015 Villa Antinori White (Toscana),White Blend,impruneta,43.61,11.19,14.0,87,14.0,87
Italy,Marchesi de' Frescobaldi 2014 Castiglioni Red (Toscana),Red Blend,roccastrada,43.04,11.41,30.0,87,30.0,87
US,Martin Ranch 2014 J.D. Hurley Zinfandel (Santa Clara Valley),Zinfandel,morgan hill,37.04,-121.71,26.0,87,26.0,87
Italy,Ornellaia 2014 Le Volte Red (Toscana),Red Blend,cecina,43.21,10.62,30.0,87,30.0,87
France,Pardon et Fils 2015 Les Quartelets  (Brouilly),Gamay,villefranche-sur-saone,46.15,4.6,23.0,87,23.0,87
US,Piña 2013 Wolff Vineyard Cabernet Sauvignon (Yountville),Cabernet Sauvignon,sonoma,38.47,-122.38,85.0,87,85.0,87
Italy,Podere Ciona 2014 Semifonte Red (Toscana),Red Blend,montevarchi,43.48,11.46,15.0,87,15.0,87
US,Rideau 2014 Estate Syrah,Syrah,isla vista,34.63,-120.11,44.0,87,44.0,87
Italy,Tenuta Forconi 2013 Toscano Red (Toscana),Red Blend,montelupo fiorentino,43.7,10.99,80.0,87,80.0,87
Italy,Ceretto 2003 Bricco Rocche Prapó  (Barolo),Nebbiolo,alba,44.67,8.0,70.0,92,70.0,92
US,Matrix 2007 Stuhlmuller Vineyard Chardonnay (Alexander Valley),Chardonnay,healdsburg,38.57,-122.88,36.0,92,36.0,92
US,Mauritson 2007 Rockpile Cemetary Vineyard Zinfandel (Rockpile),Zinfandel,healdsburg,38.65,-122.91,39.0,92,39.0,92
Australia,Henry's Drive Vignerons 2006 Parson's Flat Shiraz-Cabernet Sauvignon (Padthaway),Shiraz-Cabernet Sauvignon,adelaide,-34.98,138.73,40.0,92,40.0,92
US,Silverado 2006 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,napa,38.41,-122.34,45.0,92,45.0,92
South Africa,Le Riche 2003 Cabernet Sauvignon Reserve Cabernet Sauvignon (Stellenbosch),Cabernet Sauvignon,somerset west,-34.01,18.8,45.0,91,45.0,91
France,Pierre Sparr 2007 Vendages Tardives Gewurztraminer (Alsace),Gewürztraminer,colmar,48.16,7.33,48.0,91,48.0,91
France,Kuentz-Bas 2008 Pinot Blanc (Alsace),Pinot Blanc,colmar,48.03,7.28,17.0,91,17.0,91
South Africa,Camberley 2004 Philosophers' Stone Red (Stellenbosch),Bordeaux-style Red Blend,stellenbosch,-33.92,18.93,25.0,91,25.0,91
South Africa,Delheim 2001 Grand Reserve Cabernet Sauvignon (Simonsberg-Stellenbosch),Cabernet Sauvignon,stellenbosch,-33.87,18.89,30.0,91,30.0,91
Italy,Poderi Luigi Einaudi 2003  Barolo,Nebbiolo,mondovi,44.52,7.95,68.0,91,68.0,91
US,Clark-Clauden 2007 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,sonoma,38.5,-122.47,78.0,91,78.0,91
Italy,Giacomo Ascheri 2001 Sorano  (Barolo),Nebbiolo,bra,44.69,7.85,60.0,91,60.0,91
France,Lassègue 2003  Saint-Émilion,Bordeaux-style Red Blend,libourne,44.88,-0.13,50.0,91,50.0,91
Italy,Poderi Colla 2005 Costa Bruna  (Barbera d'Alba),Barbera,alba,44.67,8.07,26.0,90,26.0,90
France,Domaine Zind-Humbrecht 2007 Hunawihr Clos Windsbuhl Pinot Gris (Alsace),Pinot Gris,colmar,48.08,7.3,84.0,90,84.0,90
US,Terra Valentine 2013 K Block Cabernet Sauvignon (Spring Mountain District),Cabernet Sauvignon,santa rosa,38.52,-122.55,85.0,91,85.0,91
US,Testarossa 2013 Guidotti Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,los gatos,37.21,-121.98,64.0,91,64.0,91
US,Vincent Vineyards 2010 Family Reserve Cabernet Sauvignon (Santa Ynez Valley),Cabernet Sauvignon,isla vista,34.65,-120.09,68.0,91,68.0,91
Germany,Weingut Liebfrauenstift 2014 Dry Riesling (Rheinhessen),Riesling,worms,49.64,8.37,16.0,91,16.0,91
US,Wrath 2013 Destruction Level Red (Monterey),Rhône-style Red Blend,soledad,36.41,-121.39,35.0,91,35.0,91
Portugal,Herdade Grande 2014 Gerações Colheita Seleccionada Branco White (Alentejano),Portuguese White,beja,38.19,-7.84,30.0,91,30.0,91
US,Albatross Ridge 2012 Estate Reserve Pinot Noir (Carmel Valley),Pinot Noir,monterey,36.56,-121.92,55.0,91,55.0,91
US,Alta Colina 2012 Old 900 Syrah (Paso Robles),Syrah,atascadero,35.65,-120.74,46.0,91,46.0,91
Spain,Marques de Griñon 2010 Single Vineyard Estate Bottled Graciano (Dominio de Valdepusa),Graciano,talavera de la reina,39.86,-4.61,50.0,91,50.0,91
US,Big Basin 2013 Syrah (Santa Cruz Mountains),Syrah,saratoga,37.18,-122.16,36.0,91,36.0,91
Portugal,Casa Santa Vitória 2013 Grande Reserva Tinto Red (Alentejano),Portuguese Red,aljustrel,37.89,-8.02,26.0,91,26.0,91
Italy,Castello di Gabbiano 2012 Bellezza Gran Selezione  (Chianti Classico),Sangiovese,impruneta,43.63,11.26,38.0,91,38.0,91
France,Château Vincens 2012 Malbec (Cahors),Malbec,cahors,44.46,1.28,35.0,91,35.0,91
US,Chronic Cellars 2013 Mr. Nibbles Red (Paso Robles),Red Blend,atascadero,35.67,-120.73,35.0,91,35.0,91
Chile,Conde de Velázquez 2012 Condesa Real Premium Blend Red (Aconcagua Valley),Red Blend,san bernardo,-33.53,-70.71,29.0,91,29.0,91
Chile,Cono Sur 2012 20 Barrels Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,santiago,-33.42,-70.61,32.0,91,32.0,91
France,Domaine Berthoumieu 2013 Charles de Batz Tannat-Cabernet (Madiran),Tannat-Cabernet,pau,43.61,-0.12,25.0,91,25.0,91
US,Duckhorn 2012 Rector Creek Vineyard Merlot (Napa Valley),Merlot,sonoma,38.53,-122.49,95.0,91,95.0,91
US,Dutton-Goldfield 2014 Dutton Ranch Pinot Noir (Russian River Valley),Pinot Noir,windsor,38.44,-122.86,44.0,91,44.0,91
Germany,Fritz Haag 2014 Brauneberger Feinherb Riesling (Mosel),Riesling,wittlich,49.91,6.99,30.0,91,30.0,91
Chile,G7 2012 The 7th Generation Gran Reserva Estate Bottled Cabernet Sauvignon (Loncomilla Valley),Cabernet Sauvignon,santiago,-33.42,-70.6,20.0,91,20.0,91
US,Le Cadeau 2014 Pinot Noir (Willamette Valley),Pinot Noir,newberg,45.27,-123.02,38.0,91,38.0,91
New Zealand,Stoneleigh 2008 Sauvignon Blanc (Marlborough),Sauvignon Blanc,seddon,-41.51,173.96,19.0,88,19.0,88
Italy,Tenuta Peter Sölva & Söhne 2007 De Silva Sauvignon (Alto Adige),Sauvignon,appiano,46.41,11.24,25.0,88,25.0,88
Chile,TerraMater 2006 Unusual Cabernet-Shiraz-Zinfandel Red (Maipo Valley),Red Blend,santiago,-33.42,-70.6,50.0,88,50.0,88
Italy,Isole e Olena 2005  Chianti Classico,Sangiovese,poggibonsi,43.5,11.24,22.0,88,22.0,88
US,Kenwood 2005 Jack London Vineyard Syrah (Sonoma Valley),Syrah,sonoma,38.41,-122.54,25.0,88,25.0,88
France,La Chablisienne 2006 Les Vénérables Vieilles Vignes  (Chablis),Chardonnay,auxerre,47.81,3.8,27.0,88,27.0,88
US,Manzoni 2006 Lucia Highland Vineyard Chardonnay (Santa Lucia Highlands),Chardonnay,monterey,36.55,-121.92,23.0,88,23.0,88
US,McIntyre Vineyards 2006 Mission Ranch Pinot Noir (Arroyo Seco),Pinot Noir,monterey,36.54,-121.91,36.0,88,36.0,88
Argentina,Alamos 2007 Torrontés (Salta),Torrontés,lujan,-33.17,-68.92,12.0,88,12.0,88
US,Anaba 2007 Chardonnay (Sonoma Coast),Chardonnay,sonoma,38.24,-122.46,35.0,88,35.0,88
Chile,Apaltagua 2007 Envero Gran Reserva Carmenère (Colchagua Valley),Carmenère,santa cruz,-34.62,-71.27,15.0,88,15.0,88
US,Harrington 2006 Wiley Vineyard Pinot Noir (Anderson Valley),Pinot Noir,san francisco,37.75,-122.39,40.0,88,40.0,88
Italy,Abbazia Santa Anastasia 2003 Montenero Red (Sicilia),Red Blend,castelbuono,37.97,14.08,48.0,88,48.0,88
Chile,Viña Bisquertt 2007 Casa La Joya Reserve Merlot (Colchagua Valley),Merlot,santiago,-33.39,-70.62,11.0,88,11.0,88
Chile,Emiliana 2008 Natura Chardonnay (Casablanca Valley),Chardonnay,villa alemana,-33.36,-71.31,11.0,87,11.0,87
Italy,Fattoria Alois 2007 Campole Red (Campania),Red Blend,capua,41.19,14.23,26.0,87,26.0,87
Italy,Aldegheri 2003 Le Pietre Santambrogio Red (Rosso del Veronese),Red Blend,pescantina,45.52,10.83,20.0,87,20.0,87
France,Bertrand Ambroise 2006  St.-Romain,Chardonnay,beaune,47.11,4.93,35.0,87,35.0,87
Italy,Carpineto 2003 Riserva  (Vino Nobile di Montepulciano),Prugnolo Gentile,figline valdarno,43.6,11.39,35.0,87,35.0,87
Italy,Cesani 2007 Pancole  (Vernaccia di San Gimignano),Vernaccia,certaldo,43.51,11.0,18.0,87,18.0,87
South Africa,Spier 2014 21 Gables Chenin Blanc (Western Cape),Chenin Blanc,stellenbosch,-33.97,18.78,23.0,90,23.0,90
US,Sequum 2013 Four Soil Mélange Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,sonoma,38.5,-122.46,60.0,90,60.0,90
US,Sierra Starr 2014 Rising Starr Estate Bottled Cabernet Franc (Nevada County),Cabernet Franc,grass valley,39.21,-121.09,28.0,90,28.0,90
Italy,Terlan 2014 Nova Domus Riserva White (Alto Adige),White Blend,appiano,46.53,11.25,62.0,90,62.0,90
Israel,Yatir 2011 Syrah (Judean Hills),Syrah,dimona,31.26,35.13,50.0,90,50.0,90
Portugal,Adega Cooperativa de Borba 2012 Montes Claros Garrafeira Red (Alentejo),Portuguese Red,borba,38.81,-7.46,28.0,90,28.0,90
US,J. Lohr 2014 Gesture G-S-M (Paso Robles),G-S-M,atascadero,35.69,-120.64,30.0,90,30.0,90
US,Del Carlo Winery 2014 Home Ranch Teldeschi Vineyards Century Old Vine Zinfandel (Dry Creek Valley),Zinfandel,healdsburg,38.67,-122.94,32.0,90,32.0,90
South Africa,Delaire Graff 2013 Reserve White (Coastal Region),White Blend,stellenbosch,-33.92,18.92,40.0,90,40.0,90
France,Domaine St Pierre 2014 Red (Côtes du Rhône),Rhône-style Red Blend,saint-martin-de-crau,43.52,4.74,16.0,90,16.0,90
South Africa,Eikendal 2014 Chardonnay (Western Cape),Chardonnay,somerset west,-34.01,18.82,20.0,90,20.0,90
France,Famille Perrin 2013 Les Christins Red (Vacqueyras),Rhône-style Red Blend,orange,44.12,4.86,32.0,90,32.0,90
Spain,Matarromera 2015 Fermentado en Barrica Verdejo (Rueda),Verdejo,valladolid,41.64,-4.32,40.0,90,40.0,90
US,MCV 2014 1105 Red (Paso Robles),Red Blend,morro bay,35.37,-120.85,48.0,90,48.0,90
US,Mounts 2014 Verah Red (Dry Creek Valley),Rhône-style Red Blend,healdsburg,38.66,-122.95,36.0,90,36.0,90
Israel,Or Haganuz 2014 French Blend Red (Galilee),Bordeaux-style Red Blend,jish,33.0,35.45,80.0,90,80.0,90
Italy,Podere Scopetone 2012  Brunello di Montalcino,Sangiovese,arezzo,43.43,11.93,57.0,90,57.0,90
Portugal,Quinta de Foz de Arouce 2013 Red (Beira Atlantico),Portuguese Red,poiares,40.16,-8.28,20.0,90,20.0,90
US,Robert Mondavi 2015 Fumé Blanc (Napa Valley),Fumé Blanc,sonoma,38.44,-122.41,20.0,90,20.0,90
Italy,St. Pauls 2014 Passion Riserva Pinot Bianco (Alto Adige),Pinot Bianco,appiano,46.47,11.26,40.0,90,40.0,90
Argentina,Mendel 2014 Lunta Malbec (Luján de Cuyo),Malbec,lujan,-33.03,-68.85,22.0,90,22.0,90
South Africa,Oldenburg 2013 Chardonnay (Stellenbosch),Chardonnay,stellenbosch,-33.93,18.95,25.0,90,25.0,90
US,Wagner 2006 Grace House Pinot Noir (Finger Lakes),Pinot Noir,geneva,42.57,-76.86,15.0,85,15.0,85
US,Treleaven 2006 Semi-Dry Riesling (Cayuga Lake),Riesling,ithaca,42.65,-76.63,14.0,85,14.0,85
US,Benessere 2005 Costa Del Sol Red (Napa Valley),Red Blend,santa rosa,38.55,-122.51,18.0,85,18.0,85
US,Bloomer Creek 2006 Gewürztraminer (Finger Lakes),Gewürztraminer,ithaca,42.49,-76.87,16.0,85,16.0,85
Australia,Angove's 2006 Red Belly Black Shiraz (South Australia),Shiraz,adelaide,-35.21,138.55,12.0,85,12.0,85
US,Silvan Ridge 2006 Reserve Pinot Noir (Willamette Valley),Pinot Noir,eugene,43.96,-123.26,28.0,85,28.0,85
Italy,Talamonti 2007 Cerasuolo Rosè  (Montepulciano d'Abruzzo),Montepulciano,penne,42.41,13.97,10.0,85,10.0,85
US,Meeker 2004 Kiss Ridge Vineyard Cabernet Sauvignon (Diamond Mountain District),Cabernet Sauvignon,healdsburg,38.71,-122.9,85.0,85,85.0,85
Italy,Consorzio Vini Tipici di San Marino NV Moscato (San Marino),Moscato,san marino,43.94,12.46,18.0,85,18.0,85
Australia,D'Arenberg 2006 The Derelict Vineyard Grenache (McLaren Vale),Grenache,adelaide,-35.2,138.55,29.0,85,29.0,85
US,Dogwood 2005 Cabernet Sauvignon (Mendocino),Cabernet Sauvignon,arcata,40.91,-123.61,36.0,85,36.0,85
France,Domaine du Tariquet 2007 Ugni Blanc-Colombard (Vin de Pays des Côtes de Gascogne),Ugni Blanc-Colombard,auch,43.85,0.17,9.0,85,9.0,85
US,Falcor 2005 Sangiovese (Napa Valley),Sangiovese,napa,38.26,-122.28,34.0,85,34.0,85
US,Hayman & Hill 2007 Reserve Selection Chardonnay (Russian River Valley),Chardonnay,bowen,-20.05,148.89,15.0,85,15.0,85
US,Hermann J. Wiemer 2002 Blanc de Blanc Chardonnay (Finger Lakes),Chardonnay,geneva,42.57,-76.93,30.0,85,30.0,85
Argentina,Finca Las Moras 2007 Reserve Chardonnay (San Juan),Chardonnay,san juan,-32.07,-68.88,12.0,85,12.0,85
Australia,Long Flat 2006 Destinations Sauvignon Blanc (Adelaide Hills),Sauvignon Blanc,port macquarie,-31.54,152.69,15.0,85,15.0,85
US,Amity 2006 Estate Single Vineyard Pinot Noir (Willamette Valley),Pinot Noir,keizer,45.12,-123.21,45.0,85,45.0,85
US,Autumn Hill 2007 Petit Verdot-Merlot Red (Monticello),Bordeaux-style Red Blend,charlottesville,38.25,-78.51,18.0,85,18.0,85
US,Blue Rock 2005 Estate Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,healdsburg,38.74,-122.96,49.0,85,49.0,85
US,Cherry Hill 2006 Papillon Estate Pinot Noir (Willamette Valley),Pinot Noir,dallas,44.98,-123.19,22.0,85,22.0,85
US,Cloud 9 2006 Seity Zinfandel (Amador County),Zinfandel,erie,42.13,-80.08,35.0,85,35.0,85
Argentina,Cueva de las Manos 2007 Reserve Malbec (Luján de Cuyo),Malbec,coihaique,-47.15,-70.66,15.0,85,15.0,85
US,David Fulton 2008 Petite Sirah (St. Helena),Petite Sirah,sonoma,38.51,-122.47,45.0,89,45.0,89
US,Esterlina 2009 Reserva Pinot Noir (Cole Ranch),Pinot Noir,ukiah,39.14,-123.5,55.0,89,55.0,89
South Africa,Goats do Roam Wine Co. 2008 Goat-Roti Syrah-Viognier (Coastal Region),Syrah-Viognier,paarl,-33.77,18.92,20.0,89,20.0,89
South Africa,Graham Beck 2007 The William Red (Coastal Region),Red Blend,robertson,-33.8,19.8,18.0,89,18.0,89
South Africa,Hartenberg 2007 Cabernet Sauvignon (Stellenbosch),Cabernet Sauvignon,stellenbosch,-33.9,18.79,35.0,89,35.0,89
France,Vignobles 46N118 2007 Noir 46 Malbec (Cahors),Malbec,carcassonne,43.21,2.23,13.0,89,13.0,89
US,Willamette Valley Vineyards 2009 Estate Pinot Noir (Willamette Valley),Pinot Noir,salem,44.83,-123.01,40.0,89,40.0,89
Argentina,Algodon 2008 Estate Blend Gran Reserva Red,Red Blend,san rafael,-34.65,-68.46,37.0,89,37.0,89
US,Beaver Creek 2008 Fairytale Red (Napa Valley),Red Blend,clearlake,38.73,-122.62,39.0,89,39.0,89
US,Byron 2009 Monument Pinot Noir (Santa Maria Valley),Pinot Noir,santa maria,34.87,-120.25,60.0,89,60.0,89
South Africa,Jardin 2007 Syrah (Stellenbosch),Syrah,stellenbosch,-33.94,18.74,19.0,89,19.0,89
Argentina,Kaiken 2008 Corte Malbec-Bonarda-Petit Verdot Red (Mendoza),Red Blend,lujan,-33.04,-68.94,14.0,89,14.0,89
Italy,Lungarotti 2007 Torre di Giano Vigna il Pino White (Torgiano),White Blend,perugia,43.03,12.43,40.0,89,40.0,89
Italy,Marchesi Fumanelli 2005 Terso White (Veneto),White Blend,negrar,45.51,10.9,36.0,89,36.0,89
Austria,Mariell 2009 Blaufränkisch (Leithaberg),Blaufränkisch,eisenstadt,47.83,16.48,17.0,89,17.0,89
Italy,Livio Felluga 2009 Friulano (Colli Orientali del Friuli),Friulano,cividale del friuli,45.97,13.46,25.0,89,25.0,89
Italy,Nals Margreid 2010 Sirmian Pinot Bianco (Alto Adige),Pinot Bianco,appiano,46.54,11.2,26.0,89,26.0,89
Argentina,O. Fournier 2007 B Crux Red (Uco Valley),Red Blend,lujan,-33.8,-69.12,19.0,89,19.0,89
Italy,Pico Maccario 2010 Estrosa White (Monferrato),White Blend,acqui terme,44.79,8.48,13.0,89,13.0,89
Argentina,Sottano 2009 Reserva de Familia Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,lujan,-33.1,-68.92,30.0,89,30.0,89
US,St. Francis 2009 Old Vines Zinfandel (Sonoma County),Zinfandel,santa rosa,38.44,-122.58,20.0,89,20.0,89
