country,points,price,title,variety,winery,City,Lat,Lng
Italy,86,13.0,Tasca d'Almerita 2011 Sallier de la Tour Inzolia (Sicilia),Inzolia,Tasca d'Almerita,mussomeli,37.72,13.83
US,86,16.0,Trump 2011 Sauvignon Blanc (Monticello),Sauvignon Blanc,Trump,charlottesville,37.94,-78.5
France,86,14.0,Vignerons de Bel Air 2011 Eté Indien  (Brouilly),Gamay,Vignerons de Bel Air,villefranche-sur-saone,46.12,4.71
Chile,85,22.0,Casa Silva 2008 Gran Reserva Petit Verdot (Colchagua Valley),Petit Verdot,Casa Silva,san vicente,-34.54,-70.97
Italy,85,14.0,Cantine di Dolianova 2010 Dolia  (Monica di Sardegna),Monica,Cantine di Dolianova,sinnai,39.36,9.16
France,85,15.0,Château de Sours 2011 La Fleur d'Amélie  (Bordeaux Blanc),Bordeaux-style White Blend,Château de Sours,libourne,44.82,-0.27
US,85,30.0,RustRidge 2010 Estate Bottled Chardonnay (Napa Valley),Chardonnay,RustRidge,napa,38.53,-122.32
US,86,55.0,Mellisoni 2014 Malbec (Columbia Valley (WA)),Malbec,Mellisoni,east wenatchee bench,47.84,-120.07
Italy,86,17.0,Podere dal Nespoli 2015 Prugneto Sangiovese (Romagna),Sangiovese,Podere dal Nespoli,bertinoro,44.04,11.99
US,86,25.0,Ram 2014 Alder Ridge Vineyard Cabernet Franc (Columbia Valley (WA)),Cabernet Franc,Ram,sonoma,38.17,-122.45
France,86,58.0,Roland Champion NV Brut Rosé  (Champagne),Champagne Blend,Roland Champion,epernay,49.03,4.01
US,86,26.0,Sevtap 2015 Golden Horn Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,Sevtap,lompoc,34.6,-120.14
France,86,24.0,Simonnet-Febvre 2015  Chablis,Chardonnay,Simonnet-Febvre,auxerre,47.76,3.69
France,86,15.0,Vignerons des Terres Secrètes 2015  Mâcon-Milly Lamartine,Chardonnay,Vignerons des Terres Secrètes,macon,46.32,4.75
US,86,46.0,Basel Cellars 2013 Inspired Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Basel Cellars,college place,46.02,-118.4
France,86,55.0,Collet NV Brut Rosé  (Champagne),Champagne Blend,Collet,nice,43.72,7.21
US,86,12.0,Drumheller 2014 Chardonnay (Columbia Valley (WA)),Chardonnay,Drumheller,drumheller,51.43,-112.65
US,86,40.0,Eco Terreno 2013 Old Vine Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Eco Terreno,sonoma,38.28,-122.46
Italy,86,32.0,Grifalco 2013 Daginestra  (Aglianico del Vulture),Aglianico,Grifalco,venosa,40.97,15.85
US,86,75.0,Hindsight 2013 Bella Vetta Vineyard Cabernet Sauvignon (Howell Mountain),Cabernet Sauvignon,Hindsight,santa rosa,38.6,-122.58
Germany,86,9.0,Schmitt Söhne 2015 Riesling (Rheinhessen),Riesling,Schmitt Söhne,trier,49.81,6.77
Australia,86,18.0,Yalumba 2016 Made With Organic Grapes Chardonnay (South Australia),Chardonnay,Yalumba,gawler,-34.51,139.06
US,86,25.0,Z'IVO 2015 Rosé of Pinot Noir (Eola-Amity Hills),Pinot Noir,Z'IVO,keizer,45.13,-123.12
Chile,86,12.0,Aresti 2014 Special Release Reserva Carmenère (Rapel Valley),Carmenère,Aresti,molina,-35.15,-71.3
France,86,11.0,Lionel Osmin & Cie 2016 La Réserve Petit Manseng (Vin de France),Petit Manseng,Lionel Osmin & Cie,pau,43.33,-0.31
Australia,86,20.0,Mitolo 2016 Jester Sangiovese Rosé (McLaren Vale),Rosé,Mitolo,adelaide,-35.23,138.57
US,86,24.0,Napa Cellars 2014 Classic Zinfandel (Napa Valley),Zinfandel,Napa Cellars,sonoma,38.42,-122.39
US,86,20.0,Palencia 2016 Albariño (Ancient Lakes),Albariño,Palencia,walla walla,46.09,-118.26
US,86,55.0,Passaggio 2014 Blau Vineyards Merlot (Knights Valley),Merlot,Passaggio,sonoma,38.29,-122.46
Italy,86,29.0,Poggio Alloro 2014 Le Mandorle Riserva  (Vernaccia di San Gimignano),Vernaccia,Poggio Alloro,certaldo,43.49,11.07
Italy,88,19.0,Fattoria Sardi 2015 Rosato (Toscana),Rosato,Fattoria Sardi,lucca,43.88,10.5
US,88,23.0,Ferrari-Carano 2014 Siena Red (Sonoma County),Red Blend,Ferrari-Carano,healdsburg,38.71,-122.98
US,88,55.0,Franciscan 2013 Magnificat Meritage (Napa Valley),Meritage,Franciscan,sonoma,38.47,-122.43
Austria,88,12.0,Fuchs 2015 Grüner Veltliner (Burgenland),Grüner Veltliner,Fuchs,ruse,46.66,15.52
US,88,22.0,Gård 2014 Grand Klasse Reserve Lawrence Vineyards Viognier (Columbia Valley (WA)),Viognier,Gård,woodinville,47.77,-122.15
US,88,20.0,Heron Hill 2015 Ingle Vineyard Riesling (Finger Lakes),Riesling,Heron Hill,corning,42.45,-77.2
Italy,88,30.0,Serpaia di Endrizzi 2010 Dono Riserva  (Morellino di Scansano),Sangiovese,Serpaia di Endrizzi,trento,46.2,11.14
US,88,75.0,Soquel Vineyards 2013 Intreccio Library Selection Red (Napa Valley),Bordeaux-style Red Blend,Soquel Vineyards,soquel,37.03,-121.93
US,88,18.0,Ventosa 2015 Pinot Gris (Finger Lakes),Pinot Gris,Ventosa,geneva,42.86,-76.94
US,87,20.0,Lamoreaux Landing 2014 Red Oak Vineyard Riesling (Finger Lakes),Riesling,Lamoreaux Landing,geneva,42.58,-76.86
Chile,87,18.0,Leyda 2015 Single Vineyard Falaris Hill Chardonnay (Leyda Valley),Chardonnay,Leyda,san antonio,-33.69,-71.48
Italy,87,16.0,Madonna Alta 2014 Nativo Red (Toscana),Red Blend,Madonna Alta,foligno,42.89,12.63
Italy,87,14.0,Marchesi Antinori 2015 Villa Antinori White (Toscana),White Blend,Marchesi Antinori,impruneta,43.61,11.19
Italy,87,30.0,Marchesi de' Frescobaldi 2014 Castiglioni Red (Toscana),Red Blend,Marchesi de' Frescobaldi,roccastrada,43.04,11.41
US,87,26.0,Martin Ranch 2014 J.D. Hurley Zinfandel (Santa Clara Valley),Zinfandel,Martin Ranch,morgan hill,37.04,-121.71
Italy,87,30.0,Ornellaia 2014 Le Volte Red (Toscana),Red Blend,Ornellaia,cecina,43.21,10.62
France,87,23.0,Pardon et Fils 2015 Les Quartelets  (Brouilly),Gamay,Pardon et Fils,villefranche-sur-saone,46.15,4.6
US,87,85.0,Piña 2013 Wolff Vineyard Cabernet Sauvignon (Yountville),Cabernet Sauvignon,Piña,sonoma,38.47,-122.38
Italy,87,15.0,Podere Ciona 2014 Semifonte Red (Toscana),Red Blend,Podere Ciona,montevarchi,43.48,11.46
US,87,44.0,Rideau 2014 Estate Syrah,Syrah,Rideau,isla vista,34.63,-120.11
Italy,87,80.0,Tenuta Forconi 2013 Toscano Red (Toscana),Red Blend,Tenuta Forconi,montelupo fiorentino,43.7,10.99
Italy,92,70.0,Ceretto 2003 Bricco Rocche Prapó  (Barolo),Nebbiolo,Ceretto,alba,44.67,8.0
US,92,36.0,Matrix 2007 Stuhlmuller Vineyard Chardonnay (Alexander Valley),Chardonnay,Matrix,healdsburg,38.57,-122.88
US,92,39.0,Mauritson 2007 Rockpile Cemetary Vineyard Zinfandel (Rockpile),Zinfandel,Mauritson,healdsburg,38.65,-122.91
Australia,92,40.0,Henry's Drive Vignerons 2006 Parson's Flat Shiraz-Cabernet Sauvignon (Padthaway),Shiraz-Cabernet Sauvignon,Henry's Drive Vignerons,adelaide,-34.98,138.73
US,92,45.0,Silverado 2006 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Silverado,napa,38.41,-122.34
South Africa,91,45.0,Le Riche 2003 Cabernet Sauvignon Reserve Cabernet Sauvignon (Stellenbosch),Cabernet Sauvignon,Le Riche,somerset west,-34.01,18.8
France,91,48.0,Pierre Sparr 2007 Vendages Tardives Gewurztraminer (Alsace),Gewürztraminer,Pierre Sparr,colmar,48.16,7.33
France,91,17.0,Kuentz-Bas 2008 Pinot Blanc (Alsace),Pinot Blanc,Kuentz-Bas,colmar,48.03,7.28
South Africa,91,25.0,Camberley 2004 Philosophers' Stone Red (Stellenbosch),Bordeaux-style Red Blend,Camberley,stellenbosch,-33.92,18.93
South Africa,91,30.0,Delheim 2001 Grand Reserve Cabernet Sauvignon (Simonsberg-Stellenbosch),Cabernet Sauvignon,Delheim,stellenbosch,-33.87,18.89
Italy,91,68.0,Poderi Luigi Einaudi 2003  Barolo,Nebbiolo,Poderi Luigi Einaudi,mondovi,44.52,7.95
US,91,78.0,Clark-Clauden 2007 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Clark-Clauden,sonoma,38.5,-122.47
Italy,91,60.0,Giacomo Ascheri 2001 Sorano  (Barolo),Nebbiolo,Giacomo Ascheri,bra,44.69,7.85
France,91,50.0,Lassègue 2003  Saint-Émilion,Bordeaux-style Red Blend,Lassègue,libourne,44.88,-0.13
Italy,90,26.0,Poderi Colla 2005 Costa Bruna  (Barbera d'Alba),Barbera,Poderi Colla,alba,44.67,8.07
France,90,84.0,Domaine Zind-Humbrecht 2007 Hunawihr Clos Windsbuhl Pinot Gris (Alsace),Pinot Gris,Domaine Zind-Humbrecht,colmar,48.08,7.3
US,91,85.0,Terra Valentine 2013 K Block Cabernet Sauvignon (Spring Mountain District),Cabernet Sauvignon,Terra Valentine,santa rosa,38.52,-122.55
US,91,64.0,Testarossa 2013 Guidotti Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Testarossa,los gatos,37.21,-121.98
US,91,68.0,Vincent Vineyards 2010 Family Reserve Cabernet Sauvignon (Santa Ynez Valley),Cabernet Sauvignon,Vincent Vineyards,isla vista,34.65,-120.09
Germany,91,16.0,Weingut Liebfrauenstift 2014 Dry Riesling (Rheinhessen),Riesling,Weingut Liebfrauenstift,worms,49.64,8.37
US,91,35.0,Wrath 2013 Destruction Level Red (Monterey),Rhône-style Red Blend,Wrath,soledad,36.41,-121.39
Portugal,91,30.0,Herdade Grande 2014 Gerações Colheita Seleccionada Branco White (Alentejano),Portuguese White,Herdade Grande,beja,38.19,-7.84
US,91,55.0,Albatross Ridge 2012 Estate Reserve Pinot Noir (Carmel Valley),Pinot Noir,Albatross Ridge,monterey,36.56,-121.92
US,91,46.0,Alta Colina 2012 Old 900 Syrah (Paso Robles),Syrah,Alta Colina,atascadero,35.65,-120.74
Spain,91,50.0,Marques de Griñon 2010 Single Vineyard Estate Bottled Graciano (Dominio de Valdepusa),Graciano,Marques de Griñon,talavera de la reina,39.86,-4.61
US,91,36.0,Big Basin 2013 Syrah (Santa Cruz Mountains),Syrah,Big Basin,saratoga,37.18,-122.16
Portugal,91,26.0,Casa Santa Vitória 2013 Grande Reserva Tinto Red (Alentejano),Portuguese Red,Casa Santa Vitória,aljustrel,37.89,-8.02
Italy,91,38.0,Castello di Gabbiano 2012 Bellezza Gran Selezione  (Chianti Classico),Sangiovese,Castello di Gabbiano,impruneta,43.63,11.26
France,91,35.0,Château Vincens 2012 Malbec (Cahors),Malbec,Château Vincens,cahors,44.46,1.28
US,91,35.0,Chronic Cellars 2013 Mr. Nibbles Red (Paso Robles),Red Blend,Chronic Cellars,atascadero,35.67,-120.73
Chile,91,29.0,Conde de Velázquez 2012 Condesa Real Premium Blend Red (Aconcagua Valley),Red Blend,Conde de Velázquez,san bernardo,-33.53,-70.71
Chile,91,32.0,Cono Sur 2012 20 Barrels Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Cono Sur,santiago,-33.42,-70.61
France,91,25.0,Domaine Berthoumieu 2013 Charles de Batz Tannat-Cabernet (Madiran),Tannat-Cabernet,Domaine Berthoumieu,pau,43.61,-0.12
US,91,95.0,Duckhorn 2012 Rector Creek Vineyard Merlot (Napa Valley),Merlot,Duckhorn,sonoma,38.53,-122.49
US,91,44.0,Dutton-Goldfield 2014 Dutton Ranch Pinot Noir (Russian River Valley),Pinot Noir,Dutton-Goldfield,windsor,38.44,-122.86
Germany,91,30.0,Fritz Haag 2014 Brauneberger Feinherb Riesling (Mosel),Riesling,Fritz Haag,wittlich,49.91,6.99
Chile,91,20.0,G7 2012 The 7th Generation Gran Reserva Estate Bottled Cabernet Sauvignon (Loncomilla Valley),Cabernet Sauvignon,G7,santiago,-33.42,-70.6
US,91,38.0,Le Cadeau 2014 Pinot Noir (Willamette Valley),Pinot Noir,Le Cadeau,newberg,45.27,-123.02
New Zealand,88,19.0,Stoneleigh 2008 Sauvignon Blanc (Marlborough),Sauvignon Blanc,Stoneleigh,seddon,-41.51,173.96
Italy,88,25.0,Tenuta Peter Sölva & Söhne 2007 De Silva Sauvignon (Alto Adige),Sauvignon,Tenuta Peter Sölva & Söhne,appiano,46.41,11.24
Chile,88,50.0,TerraMater 2006 Unusual Cabernet-Shiraz-Zinfandel Red (Maipo Valley),Red Blend,TerraMater,santiago,-33.42,-70.6
Italy,88,22.0,Isole e Olena 2005  Chianti Classico,Sangiovese,Isole e Olena,poggibonsi,43.5,11.24
US,88,25.0,Kenwood 2005 Jack London Vineyard Syrah (Sonoma Valley),Syrah,Kenwood,sonoma,38.41,-122.54
France,88,27.0,La Chablisienne 2006 Les Vénérables Vieilles Vignes  (Chablis),Chardonnay,La Chablisienne,auxerre,47.81,3.8
US,88,23.0,Manzoni 2006 Lucia Highland Vineyard Chardonnay (Santa Lucia Highlands),Chardonnay,Manzoni,monterey,36.55,-121.92
US,88,36.0,McIntyre Vineyards 2006 Mission Ranch Pinot Noir (Arroyo Seco),Pinot Noir,McIntyre Vineyards,monterey,36.54,-121.91
Argentina,88,12.0,Alamos 2007 Torrontés (Salta),Torrontés,Alamos,lujan,-33.17,-68.92
US,88,35.0,Anaba 2007 Chardonnay (Sonoma Coast),Chardonnay,Anaba,sonoma,38.24,-122.46
Chile,88,15.0,Apaltagua 2007 Envero Gran Reserva Carmenère (Colchagua Valley),Carmenère,Apaltagua,santa cruz,-34.62,-71.27
US,88,40.0,Harrington 2006 Wiley Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Harrington,san francisco,37.75,-122.39
Italy,88,48.0,Abbazia Santa Anastasia 2003 Montenero Red (Sicilia),Red Blend,Abbazia Santa Anastasia,castelbuono,37.97,14.08
Chile,88,11.0,Viña Bisquertt 2007 Casa La Joya Reserve Merlot (Colchagua Valley),Merlot,Viña Bisquertt,santiago,-33.39,-70.62
Chile,87,11.0,Emiliana 2008 Natura Chardonnay (Casablanca Valley),Chardonnay,Emiliana,villa alemana,-33.36,-71.31
Italy,87,26.0,Fattoria Alois 2007 Campole Red (Campania),Red Blend,Fattoria Alois,capua,41.19,14.23
Italy,87,20.0,Aldegheri 2003 Le Pietre Santambrogio Red (Rosso del Veronese),Red Blend,Aldegheri,pescantina,45.52,10.83
France,87,35.0,Bertrand Ambroise 2006  St.-Romain,Chardonnay,Bertrand Ambroise,beaune,47.11,4.93
Italy,87,35.0,Carpineto 2003 Riserva  (Vino Nobile di Montepulciano),Prugnolo Gentile,Carpineto,figline valdarno,43.6,11.39
Italy,87,18.0,Cesani 2007 Pancole  (Vernaccia di San Gimignano),Vernaccia,Cesani,certaldo,43.51,11.0
South Africa,90,23.0,Spier 2014 21 Gables Chenin Blanc (Western Cape),Chenin Blanc,Spier,stellenbosch,-33.97,18.78
US,90,60.0,Sequum 2013 Four Soil Mélange Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Sequum,sonoma,38.5,-122.46
US,90,28.0,Sierra Starr 2014 Rising Starr Estate Bottled Cabernet Franc (Nevada County),Cabernet Franc,Sierra Starr,grass valley,39.21,-121.09
Italy,90,62.0,Terlan 2014 Nova Domus Riserva White (Alto Adige),White Blend,Terlan,appiano,46.53,11.25
Israel,90,50.0,Yatir 2011 Syrah (Judean Hills),Syrah,Yatir,dimona,31.26,35.13
Portugal,90,28.0,Adega Cooperativa de Borba 2012 Montes Claros Garrafeira Red (Alentejo),Portuguese Red,Adega Cooperativa de Borba,borba,38.81,-7.46
US,90,30.0,J. Lohr 2014 Gesture G-S-M (Paso Robles),G-S-M,J. Lohr,atascadero,35.69,-120.64
US,90,32.0,Del Carlo Winery 2014 Home Ranch Teldeschi Vineyards Century Old Vine Zinfandel (Dry Creek Valley),Zinfandel,Del Carlo Winery,healdsburg,38.67,-122.94
South Africa,90,40.0,Delaire Graff 2013 Reserve White (Coastal Region),White Blend,Delaire Graff,stellenbosch,-33.92,18.92
France,90,16.0,Domaine St Pierre 2014 Red (Côtes du Rhône),Rhône-style Red Blend,Domaine St Pierre,saint-martin-de-crau,43.52,4.74
South Africa,90,20.0,Eikendal 2014 Chardonnay (Western Cape),Chardonnay,Eikendal,somerset west,-34.01,18.82
France,90,32.0,Famille Perrin 2013 Les Christins Red (Vacqueyras),Rhône-style Red Blend,Famille Perrin,orange,44.12,4.86
Spain,90,40.0,Matarromera 2015 Fermentado en Barrica Verdejo (Rueda),Verdejo,Matarromera,valladolid,41.64,-4.32
US,90,48.0,MCV 2014 1105 Red (Paso Robles),Red Blend,MCV,morro bay,35.37,-120.85
US,90,36.0,Mounts 2014 Verah Red (Dry Creek Valley),Rhône-style Red Blend,Mounts,healdsburg,38.66,-122.95
Israel,90,80.0,Or Haganuz 2014 French Blend Red (Galilee),Bordeaux-style Red Blend,Or Haganuz,jish,33.0,35.45
Italy,90,57.0,Podere Scopetone 2012  Brunello di Montalcino,Sangiovese,Podere Scopetone,arezzo,43.43,11.93
Portugal,90,20.0,Quinta de Foz de Arouce 2013 Red (Beira Atlantico),Portuguese Red,Quinta de Foz de Arouce,poiares,40.16,-8.28
US,90,20.0,Robert Mondavi 2015 Fumé Blanc (Napa Valley),Fumé Blanc,Robert Mondavi,sonoma,38.44,-122.41
Italy,90,40.0,St. Pauls 2014 Passion Riserva Pinot Bianco (Alto Adige),Pinot Bianco,St. Pauls,appiano,46.47,11.26
Argentina,90,22.0,Mendel 2014 Lunta Malbec (Luján de Cuyo),Malbec,Mendel,lujan,-33.03,-68.85
South Africa,90,25.0,Oldenburg 2013 Chardonnay (Stellenbosch),Chardonnay,Oldenburg,stellenbosch,-33.93,18.95
US,85,15.0,Wagner 2006 Grace House Pinot Noir (Finger Lakes),Pinot Noir,Wagner,geneva,42.57,-76.86
US,85,14.0,Treleaven 2006 Semi-Dry Riesling (Cayuga Lake),Riesling,Treleaven,ithaca,42.65,-76.63
US,85,18.0,Benessere 2005 Costa Del Sol Red (Napa Valley),Red Blend,Benessere,santa rosa,38.55,-122.51
US,85,16.0,Bloomer Creek 2006 Gewürztraminer (Finger Lakes),Gewürztraminer,Bloomer Creek,ithaca,42.49,-76.87
Australia,85,12.0,Angove's 2006 Red Belly Black Shiraz (South Australia),Shiraz,Angove's,adelaide,-35.21,138.55
US,85,28.0,Silvan Ridge 2006 Reserve Pinot Noir (Willamette Valley),Pinot Noir,Silvan Ridge,eugene,43.96,-123.26
Italy,85,10.0,Talamonti 2007 Cerasuolo Rosè  (Montepulciano d'Abruzzo),Montepulciano,Talamonti,penne,42.41,13.97
US,85,85.0,Meeker 2004 Kiss Ridge Vineyard Cabernet Sauvignon (Diamond Mountain District),Cabernet Sauvignon,Meeker,healdsburg,38.71,-122.9
Italy,85,18.0,Consorzio Vini Tipici di San Marino NV Moscato (San Marino),Moscato,Consorzio Vini Tipici di San Marino,san marino,43.94,12.46
Australia,85,29.0,D'Arenberg 2006 The Derelict Vineyard Grenache (McLaren Vale),Grenache,D'Arenberg,adelaide,-35.2,138.55
US,85,36.0,Dogwood 2005 Cabernet Sauvignon (Mendocino),Cabernet Sauvignon,Dogwood,arcata,40.91,-123.61
France,85,9.0,Domaine du Tariquet 2007 Ugni Blanc-Colombard (Vin de Pays des Côtes de Gascogne),Ugni Blanc-Colombard,Domaine du Tariquet,auch,43.85,0.17
US,85,34.0,Falcor 2005 Sangiovese (Napa Valley),Sangiovese,Falcor,napa,38.26,-122.28
US,85,15.0,Hayman & Hill 2007 Reserve Selection Chardonnay (Russian River Valley),Chardonnay,Hayman & Hill,bowen,-20.05,148.89
US,85,30.0,Hermann J. Wiemer 2002 Blanc de Blanc Chardonnay (Finger Lakes),Chardonnay,Hermann J. Wiemer,geneva,42.57,-76.93
Argentina,85,12.0,Finca Las Moras 2007 Reserve Chardonnay (San Juan),Chardonnay,Finca Las Moras,san juan,-32.07,-68.88
Australia,85,15.0,Long Flat 2006 Destinations Sauvignon Blanc (Adelaide Hills),Sauvignon Blanc,Long Flat,port macquarie,-31.54,152.69
US,85,45.0,Amity 2006 Estate Single Vineyard Pinot Noir (Willamette Valley),Pinot Noir,Amity,keizer,45.12,-123.21
US,85,18.0,Autumn Hill 2007 Petit Verdot-Merlot Red (Monticello),Bordeaux-style Red Blend,Autumn Hill,charlottesville,38.25,-78.51
US,85,49.0,Blue Rock 2005 Estate Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Blue Rock,healdsburg,38.74,-122.96
US,85,22.0,Cherry Hill 2006 Papillon Estate Pinot Noir (Willamette Valley),Pinot Noir,Cherry Hill,dallas,44.98,-123.19
US,85,35.0,Cloud 9 2006 Seity Zinfandel (Amador County),Zinfandel,Cloud 9,erie,42.13,-80.08
Argentina,85,15.0,Cueva de las Manos 2007 Reserve Malbec (Luján de Cuyo),Malbec,Cueva de las Manos,coihaique,-47.15,-70.66
US,89,45.0,David Fulton 2008 Petite Sirah (St. Helena),Petite Sirah,David Fulton,sonoma,38.51,-122.47
US,89,55.0,Esterlina 2009 Reserva Pinot Noir (Cole Ranch),Pinot Noir,Esterlina,ukiah,39.14,-123.5
South Africa,89,20.0,Goats do Roam Wine Co. 2008 Goat-Roti Syrah-Viognier (Coastal Region),Syrah-Viognier,Goats do Roam Wine Co.,paarl,-33.77,18.92
South Africa,89,18.0,Graham Beck 2007 The William Red (Coastal Region),Red Blend,Graham Beck,robertson,-33.8,19.8
South Africa,89,35.0,Hartenberg 2007 Cabernet Sauvignon (Stellenbosch),Cabernet Sauvignon,Hartenberg,stellenbosch,-33.9,18.79
France,89,13.0,Vignobles 46N118 2007 Noir 46 Malbec (Cahors),Malbec,Vignobles 46N118,carcassonne,43.21,2.23
US,89,40.0,Willamette Valley Vineyards 2009 Estate Pinot Noir (Willamette Valley),Pinot Noir,Willamette Valley Vineyards,salem,44.83,-123.01
Argentina,89,37.0,Algodon 2008 Estate Blend Gran Reserva Red,Red Blend,Algodon,san rafael,-34.65,-68.46
US,89,39.0,Beaver Creek 2008 Fairytale Red (Napa Valley),Red Blend,Beaver Creek,clearlake,38.73,-122.62
US,89,60.0,Byron 2009 Monument Pinot Noir (Santa Maria Valley),Pinot Noir,Byron,santa maria,34.87,-120.25
South Africa,89,19.0,Jardin 2007 Syrah (Stellenbosch),Syrah,Jardin,stellenbosch,-33.94,18.74
Argentina,89,14.0,Kaiken 2008 Corte Malbec-Bonarda-Petit Verdot Red (Mendoza),Red Blend,Kaiken,lujan,-33.04,-68.94
Italy,89,40.0,Lungarotti 2007 Torre di Giano Vigna il Pino White (Torgiano),White Blend,Lungarotti,perugia,43.03,12.43
Italy,89,36.0,Marchesi Fumanelli 2005 Terso White (Veneto),White Blend,Marchesi Fumanelli,negrar,45.51,10.9
Austria,89,17.0,Mariell 2009 Blaufränkisch (Leithaberg),Blaufränkisch,Mariell,eisenstadt,47.83,16.48
Italy,89,25.0,Livio Felluga 2009 Friulano (Colli Orientali del Friuli),Friulano,Livio Felluga,cividale del friuli,45.97,13.46
